Generation number: 0

Individual: 0:
2)	-0.840815
3)	-0.62212
4)	0.391339
5)	0.576403
6)	0.645131
7)	0.667592
8)	0.612354
9)	-0.352886
10)	0.219703
11)	-0.381512
12)	0.630177
13)	-0.701834
14)	-0.796503
15)	-0.296548

Individual: 23:
0)	0.722831
1)	-0.393231
2)	-0.368328
3)	-0.98236
4)	-0.996277
5)	0.0339671
6)	0.715567
7)	0.142613
8)	0.081698
9)	0.696402
10)	-0.722037
11)	0.0910367
12)	-0.526597
13)	0.376385
14)	-0.0268258
15)	0.897641

Individual: 24:
0)	0.0840175
1)	0.33256
2)	0.104282
3)	0.415754
4)	0.065096
5)	-0.0259713
6)	0.851009
7)	-0.115696
8)	0.365215
9)	-0.539659
10)	-0.27958
11)	-0.173742
12)	-0.716483
13)	-0.710623
14)	0.032197
15)	0.841914

Individual: 25:
0)	0.340373
1)	-0.0636311
2)	0.252174
3)	0.859249
4)	0.776299
5)	-0.39378
6)	0.985473
7)	-0.596484
8)	0.993042
9)	-0.838679
10)	0.442732
11)	0.449202
12)	0.24778
13)	0.287881
14)	0.191382
15)	0.416303

Individual: 26:
0)	0.914487
1)	-0.037141
2)	0.00436415
3)	0.873653
4)	0.623463
5)	-0.715445
6)	-0.38084
7)	0.511826
8)	0.592822
9)	-0.271523
10)	0.219764
11)	-0.0517289
12)	-0.536363
13)	0.891842
14)	-0.546983
15)	-0.0735191

Individual: 27:
0)	0.951781
1)	0.788446
2)	0.793817
3)	0.47264
4)	0.627918
5)	0.757683
6)	-0.93115
7)	-0.428449
8)	0.139988
9)	0.0481887
10)	0.955016
11)	0.925047
12)	0.188757
13)	0.140843
14)	0.260842
15)	-0.646107

Individual: 28:
0)	0.570116
1)	-0.12833
2)	0.807245
3)	-0.591784
4)	0.596057
5)	-0.581469
6)	0.717704
7)	-0.254067
8)	0.207617
9)	0.213721
10)	0.931089
11)	0.844417
12)	-0.909116
13)	0.844172
14)	-0.250221
15)	0.606006

Individual: 29:
0)	0.110202
1)	0.00314341
2)	0.235511
3)	-0.579272
4)	0.36961
5)	0.55504
6)	0.265175
7)	-0.751213
8)	0.216468
9)	-0.224525
10)	0.0594195
11)	0.284585
12)	-0.501999
13)	-0.169591
14)	0.99646
15)	-0.234291

Individual: 30:
0)	-0.614734
1)	-0.444441
2)	0.523179
3)	0.488815
4)	-0.924741
5)	-0.4008
6)	0.977172
7)	-0.405072
8)	-0.315165
9)	-0.00924711
10)	-0.869686
11)	-0.812983
12)	0.648244
13)	0.19779
14)	0.268593
15)	-0.658071

Individual: 31:
0)	0.931455
1)	0.733512
2)	-0.381146
3)	-0.920835
4)	0.375042
5)	0.377789
6)	0.936094
7)	-0.150243
8)	-0.521226
9)	0.0740684
10)	-0.936949
11)	-0.89349
12)	0.939756
13)	-0.436018
14)	0.275613
15)	0.519333

Individual: 32:
0)	-0.742912
1)	-0.176428
2)	-0.775079
3)	0.397137
4)	-0.284097
5)	-0.637928
6)	0.290628
7)	0.879635
8)	-0.938047
9)	-0.553209
10)	0.155797
11)	-0.538987
12)	-0.819025
13)	0.316385
14)	-0.581835
15)	-0.591784

Individual: 33:
0)	0.0936613
1)	-0.555345
2)	0.0478225
3)	0.635914
4)	-0.419843
5)	-0.0821863
6)	0.505966
7)	-0.39848
8)	-0.254189
9)	-0.0125431
10)	-0.664418
11)	-0.218055
12)	-0.159459
13)	-0.13834
14)	-0.961669
15)	-0.70513

Individual: 34:
0)	-0.355022
1)	0.797418
2)	-0.952269
3)	-0.772698
4)	0.735221
5)	0.555345
6)	-0.386395
7)	-0.766717
8)	-0.0607624
9)	0.281533
10)	-0.59154
11)	-0.0362255
12)	0.297159
13)	0.876278
14)	0.669729
15)	0.891293

Individual: 35:
0)	-0.162389
1)	-0.0854823
2)	0.688955
3)	-0.908628
4)	-0.516465
5)	-0.82049
6)	-0.538438
7)	-0.456465
8)	0.398907
9)	-0.128452
10)	0.309183
11)	0.514451
12)	0.0896329
13)	-0.444075
14)	-0.712882
15)	0.585192

Individual: 36:
0)	-0.429182
1)	-0.0890225
2)	0.189428
3)	0.886349
4)	0.912961
5)	-0.660329
6)	0.964232
7)	-0.898251
8)	-0.520859
9)	-0.492843
10)	0.351665
11)	0.805109
12)	0.167089
13)	-0.133824
14)	0.556932
15)	0.690054

Individual: 37:
0)	-0.0334788
1)	-0.766533
2)	0.771233
3)	-0.741386
4)	0.146214
5)	0.479781
6)	-0.647694
7)	-0.47203
8)	0.381939
9)	-0.60509
10)	-0.521592
11)	-0.679922
12)	0.138707
13)	-0.208167
14)	0.0868252
15)	-0.304727

Individual: 38:
0)	-0.380779
1)	-0.0890225
2)	0.910154
3)	-0.906858
4)	-0.408612
5)	0.188269
6)	-0.577013
7)	-0.256691
8)	0.406842
9)	-0.551561
10)	0.511216
11)	-0.0926847
12)	-0.476302
13)	-0.412641
14)	0.676016
15)	0.515915

Individual: 39:
0)	-0.153844
1)	-0.195654
2)	-0.413923
3)	-0.236915
4)	0.191687
5)	0.448042
6)	0.789972
7)	0.219398
8)	0.201147
9)	-0.461592
10)	0.400433
11)	0.0276193
12)	-0.99823
13)	0.0268868
14)	-0.435102
15)	0.742912

Individual: 40:
0)	-0.0628986
1)	0.856502
2)	-0.46733
3)	-0.620289
4)	0.675405
5)	-0.113376
6)	-0.866939
7)	-0.771294
8)	-0.990234
9)	-0.257424
10)	-0.524461
11)	-0.99469
12)	-0.337504
13)	0.653737
14)	-0.314432
15)	0.89288

Individual: 41:
0)	0.404645
1)	-0.657643
2)	0.487655
3)	-0.957274
4)	0.806024
5)	0.0260933
6)	-0.551195
7)	-0.905271
8)	-0.0745567
9)	0.59563
10)	0.694876
11)	0.278054
12)	0.255654
13)	0.0310373
14)	0.911313
15)	0.658193

Individual: 42:
0)	0.233924
1)	0.119053
2)	0.442366
3)	-0.909848
4)	0.632191
5)	-0.467025
6)	-0.700064
7)	0.441389
8)	-0.861751
9)	-0.660756
10)	0.895627
11)	-0.353435
12)	0.441267
13)	-0.00863674
14)	-0.693167
15)	-0.84283

Individual: 43:
0)	0.132786
1)	0.875484
2)	0.892331
3)	-0.651845
4)	-0.262307
5)	0.468429
6)	0.0657064
7)	0.443648
8)	-0.813776
9)	0.172338
10)	0.0438551
11)	-0.475021
12)	0.0394604
13)	-0.113132
14)	0.37846
15)	-0.816156

Individual: 44:
0)	-0.21836
1)	0.382733
2)	0.0868252
3)	-0.618763
4)	0.491562
5)	0.538011
6)	0.191748
7)	-0.923032
8)	0.20481
9)	0.500656
10)	0.484664
11)	-0.809198
12)	0.280496
13)	0.839167
14)	0.323588
15)	-0.542039

Individual: 45:
0)	-0.916318
1)	0.74395
2)	0.279153
3)	0.742302
4)	-0.7022
5)	-0.658132
6)	0.439985
7)	-0.631947
8)	-0.822748
9)	-0.812922
10)	0.191992
11)	-0.965392
12)	-0.94525
13)	-0.0105899
14)	-0.718741
15)	0.875118

Individual: 46:
0)	-0.585253
1)	-0.355876
2)	0.976379
3)	-0.777764
4)	-0.154149
5)	0.624805
6)	-0.86108
7)	-0.356059
8)	-0.815485
9)	0.801508
10)	0.0186468
11)	0.81048
12)	0.162999
13)	0.748344
14)	0.581957
15)	0.756645

Individual: 47:
0)	0.873287
1)	0.600635
2)	0.189611
3)	-0.899411
4)	0.359966
5)	0.525864
6)	-0.566576
7)	-0.217383
8)	0.655019
9)	-0.129185
10)	0.946409
11)	-0.114475
12)	0.565905
13)	-0.953856
14)	-0.00271615
15)	-0.900449

Individual: 48:
0)	-0.469771
1)	-0.787652
2)	-0.316263
3)	-0.605152
4)	0.849788
5)	-0.171056
6)	0.534715
7)	-0.537034
8)	0.614978
9)	-0.871029
10)	-0.664113
11)	-0.509629
12)	-0.365703
13)	-0.417341
14)	0.9906
15)	0.82696

Individual: 49:
0)	0.679556
1)	-0.589221
2)	0.22776
3)	0.111057
4)	0.360027
5)	0.212317
6)	0.970397
7)	0.414411
8)	-0.0618
9)	-0.232948
10)	0.176733
11)	0.96881
12)	0.399335
13)	0.0771813
14)	-0.0336009
15)	0.0374462


// ----------------------------------------------------------- //

Generation number: 2

Individual: 0:
0)	0.525385
1)	0.259236
2)	-0.184154
3)	-0.601839
4)	-0.367724
5)	-0.346184
6)	0.200227
7)	0.0821365
8)	-0.114848
9)	-0.302721
10)	-0.263465
11)	-0.465219
12)	-0.209116
13)	0.180605
14)	-0.241111
15)	0.337516

Individual: 1:
0)	0.699443
1)	0.228438
2)	0.254374
3)	-0.0382206
4)	-0.409967
5)	-0.290147
6)	0.147942
7)	-0.0748207
8)	0.0968567
9)	-0.304184
10)	-0.391975
11)	-0.247369
12)	0.950833
13)	0.358608
14)	-0.256583
15)	0.462709

Individual: 2:
0)	0.855357
1)	0.162754
2)	0.565054
3)	0.293341
4)	0.448083
5)	0.296279
6)	0.113893
7)	-0.209151
8)	0.0400601
9)	-0.0723838
10)	0.307936
11)	0.946884
12)	0.00713297
13)	0.147829
14)	0.0582316
15)	-0.396321

Individual: 3:
0)	0.88553
1)	0.453788
2)	0.264942
3)	0.325619
4)	0.451968
5)	0.151444
6)	-0.566334
7)	-0.257181
8)	0.0495809
9)	-0.297853
10)	0.278437
11)	0.94588
12)	0.255198
13)	0.134743
14)	0.429674
15)	-0.399901

Individual: 4:
0)	-0.0301624
1)	-0.259629
2)	0.169189
3)	-0.596412
4)	-0.370676
5)	0.636671
6)	0.528924
7)	0.0820642
8)	0.192431
9)	-0.234328
10)	0.0974979
11)	0.105369
12)	-0.0181289
13)	0.37462
14)	0.20186
15)	0.0497342

Individual: 5:
0)	0.072141
1)	-0.107731
2)	0.530114
3)	-0.607893
4)	-0.46596
5)	0.738944
6)	0.841643
7)	-0.110346
8)	0.522041
9)	-0.473753
10)	0.0709095
11)	-0.101084
12)	-0.262749
13)	0.366026
14)	0.0978619
15)	0.146103

Individual: 6:
0)	0.636765
1)	0.0797467
2)	0.526729
3)	0.112081
4)	0.187196
5)	-0.540944
6)	0.704339
7)	0.409074
8)	-0.251429
9)	-0.0105793
10)	-0.461275
11)	0.732826
12)	0.557993
13)	0.430758
14)	-0.141989
15)	-0.257222

Individual: 7:
0)	0.391371
1)	0.0458027
2)	0.364832
3)	-0.426791
4)	0.250388
5)	-0.51165
6)	-0.0633462
7)	0.448986
8)	-0.175473
9)	-0.00715895
10)	-0.38613
11)	0.618673
12)	0.407768
13)	0.937208
14)	-0.196525
15)	-0.556039

Individual: 8:
0)	0.236119
1)	0.625242
2)	0.0392418
3)	0.0740022
4)	0.272285
5)	0.115898
6)	0.34993
7)	0.0716509
8)	-0.35355
9)	0.00788604
10)	0.0809569
11)	0.458644
12)	0.130509
13)	-0.136632
14)	-0.0693965
15)	0.510698

Individual: 9:
0)	0.553233
1)	0.64469
2)	-0.0515639
3)	0.128582
4)	0.513658
5)	-0.265967
6)	0.106108
7)	0.030037
8)	-0.552533
9)	-0.0150776
10)	-0.0176518
11)	0.413567
12)	0.472847
13)	-0.0995712
14)	-0.421402
15)	0.526488

Individual: 10:
0)	0.0542916
1)	0.0338425
2)	-0.141325
3)	0.454539
4)	-0.0171873
5)	0.221207
6)	0.101876
7)	0.375201
8)	-0.367748
9)	0.0333777
10)	0.239567
11)	-0.175075
12)	-0.224553
13)	0.164627
14)	0.147511
15)	-0.185493

Individual: 11:
0)	0.202494
1)	-0.0334555
2)	0.101689
3)	0.377192
4)	0.244853
5)	0.149447
6)	0.0958057
7)	0.364771
8)	-0.293589
9)	0.0202161
10)	0.165509
11)	-0.202372
12)	-0.0766606
13)	0.010347
14)	-0.28547
15)	0.0720802

Individual: 12:
0)	-0.456598
1)	-0.257143
2)	-0.227264
3)	-0.75025
4)	0.105677
5)	-0.735862
6)	0.413017
7)	-0.03448
8)	0.75122
9)	-0.393575
10)	0.27539
11)	0.574218
12)	0.341775
13)	0.733633
14)	-0.186771
15)	-0.36628

Individual: 13:
0)	-0.3642
1)	0.680565
2)	0.0169344
3)	-0.757703
4)	0.0976177
5)	0.222879
6)	0.338419
7)	-0.226111
8)	0.73729
9)	-0.52527
10)	0.274696
11)	-0.10718
12)	0.0645702
13)	0.730067
14)	-0.0362678
15)	-0.354971

Individual: 14:
0)	-0.21524
1)	0.636481
2)	-0.278563
3)	0.129714
4)	-0.0532961
5)	-0.433327
6)	0.199374
7)	-0.103965
8)	0.251631
9)	-0.268527
10)	0.514939
11)	-0.0604422
12)	0.552391
13)	0.456894
14)	-0.196644
15)	0.662039

Individual: 15:
0)	-0.172784
1)	0.253444
2)	0.0810501
3)	0.0702567
4)	-0.0821737
5)	-0.189625
6)	0.215701
7)	0.552413
8)	0.519815
9)	0.656791
10)	0.518792
11)	0.4314
12)	0.548115
13)	0.41811
14)	-0.0867225
15)	0.730561

Individual: 16:
0)	0.207822
1)	-0.0840274
2)	0.838004
3)	-0.583871
4)	-0.470622
5)	-0.186318
6)	0.405816
7)	0.328941
8)	-0.195547
9)	0.0883768
10)	-0.514147
11)	-0.0771466
12)	-0.348636
13)	-0.319907
14)	-0.183398
15)	0.0444168

Individual: 17:
0)	0.287236
1)	-0.136393
2)	0.765492
3)	-0.555268
4)	-0.567267
5)	-0.548144
6)	0.263435
7)	0.293983
8)	-0.1384
9)	0.196364
10)	-0.368866
11)	-0.0251043
12)	-0.395665
13)	0.256795
14)	-0.135513
15)	0.173226

Individual: 18:
0)	0.77785
1)	-0.0232854
2)	0.0209747
3)	-0.140458
4)	-0.315277
5)	-0.328399
6)	0.123349
7)	0.237362
8)	0.0887847
9)	-0.364255
10)	0.193436
11)	-0.531377
12)	-0.492169
13)	0.375063
14)	-0.4548
15)	0.137487

Individual: 19:
0)	0.701462
1)	-0.0268025
2)	0.0242203
3)	-0.383
4)	-0.103603
5)	0.416259
6)	0.11553
7)	0.201944
8)	-0.125548
9)	-0.194573
10)	0.201325
11)	-0.316405
12)	-0.376385
13)	0.665647
14)	-0.430777
15)	0.0450997

Individual: 20:
0)	0.733118
1)	0.0912021
2)	0.869165
3)	0.531747
4)	0.151531
5)	0.466245
6)	-0.606532
7)	-0.51048
8)	-0.410449
9)	-0.354138
10)	0.321539
11)	0.582796
12)	0.10428
13)	0.0556942
14)	-0.47466
15)	-0.2666

Individual: 21:
0)	0.83591
1)	0.400246
2)	0.427569
3)	0.472704
4)	0.140512
5)	-0.49331
6)	-0.427792
7)	-0.611331
8)	-0.726857
9)	-0.504983
10)	0.344681
11)	0.702422
12)	0.173569
13)	-0.198697
14)	-0.211995
15)	0.243935

Individual: 22:
0)	0.791093
1)	0.243457
2)	0.411254
3)	-0.550454
4)	0.209933
5)	-0.541209
6)	0.379573
7)	0.14597
8)	0.108442
9)	-0.255667
10)	-0.619932
11)	0.36587
12)	-0.434357
13)	0.605485
14)	0.481493
15)	0.409987

Individual: 23:
0)	0.583086
1)	-0.0498908
2)	0.614902
3)	-0.549946
4)	-0.113339
5)	-0.520989
6)	-0.223101
7)	0.144388
8)	0.0409471
9)	-0.0410679
10)	-0.0267273
11)	-0.116697
12)	-0.354718
13)	0.590645
14)	0.444194
15)	0.384117

Individual: 24:
0)	-0.0897373
1)	-0.153603
2)	0.0681309
3)	-0.0153741
4)	0.349718
5)	-0.276021
6)	0.151489
7)	0.107415
8)	0.624576
9)	-0.454436
10)	0.364565
11)	0.408521
12)	-0.97221
13)	0.686326
14)	-0.503633
15)	0.627673

Individual: 25:
0)	0.298113
1)	-0.193626
2)	-0.392387
3)	0.0942131
4)	-0.0301064
5)	-0.470405
6)	-0.0331239
7)	0.107226
8)	0.540126
9)	0.44023
10)	0.0751616
11)	0.266547
12)	-1
13)	0.0765938
14)	-0.482514
15)	0.688336

Individual: 26:
0)	0.143234
1)	0.524744
2)	0.612766
3)	-0.562522
4)	0.229681
5)	0.790671
6)	-0.39753
7)	0.393151
8)	0.0485847
9)	-0.57016
10)	0.553395
11)	0.134017
12)	0.510723
13)	-0.85922
14)	-0.121467
15)	0.188816

Individual: 27:
0)	0.460977
1)	0.0884639
2)	0.481571
3)	-0.467987
4)	-0.211028
5)	0.458135
6)	-0.353483
7)	0.208994
8)	0.240547
9)	-0.387622
10)	0.516177
11)	0.0116002
12)	0.402027
13)	-0.665128
14)	-0.12546
15)	0.0890065

Individual: 28:
0)	0.0922218
1)	0.580488
2)	-0.111828
3)	-0.70402
4)	-0.303272
5)	0.365657
6)	0.528454
7)	0.149268
8)	-0.51617
9)	0.00540837
10)	-0.278475
11)	-0.591742
12)	0.659233
13)	-0.290887
14)	0.0738977
15)	-0.0633036

Individual: 29:
0)	0.462702
1)	0.536111
2)	0.193646
3)	-0.69703
4)	-0.388981
5)	0.453058
6)	0.436386
7)	-0.0653487
8)	-0.506502
9)	0.0868137
10)	-0.359893
11)	-0.590511
12)	0.939613
13)	-0.146554
14)	0.131587
15)	-0.313186

Individual: 30:
0)	0.672058
1)	0.0561513
2)	-0.290361
3)	-0.644776
4)	0.0198931
5)	-0.0476036
6)	-0.108554
7)	0.142463
8)	-0.476867
9)	0.159708
10)	-0.428708
11)	-0.234087
12)	0.0111682
13)	0.322945
14)	0.0229601
15)	0.124272

Individual: 31:
0)	0.609592
1)	0.186647
2)	-0.11416
3)	-0.588535
4)	0.0241131
5)	-0.162035
6)	-0.14658
7)	0.321525
8)	-0.241483
9)	0.146804
10)	-0.448286
11)	0.62656
12)	0.690338
13)	0.325579
14)	0.274296
15)	0.273245

Individual: 32:
0)	0.158999
1)	0.550317
2)	0.706625
3)	0.703218
4)	-0.546887
5)	-0.707861
6)	0.726548
7)	-0.525589
8)	-0.301261
9)	-0.890707
10)	-0.147628
11)	-0.898605
12)	-0.389473
13)	0.485364
14)	-0.713232
15)	-0.294126

Individual: 33:
0)	-0.0228584
1)	-0.147069
2)	0.162023
3)	-0.270791
4)	-0.366863
5)	0.838557
6)	-0.729362
7)	0.429975
8)	0.783074
9)	-0.363689
10)	0.123081
11)	0.170324
12)	0.563341
13)	-0.392621
14)	-0.675405
15)	0.0691244

Individual: 34:
0)	0.224477
1)	-0.247723
2)	0.347424
3)	-0.185955
4)	0.517132
5)	0.783927
6)	0.416218
7)	-0.59593
8)	0.321218
9)	-0.17592
10)	0.682491
11)	0.814717
12)	0.366745
13)	0.0153195
14)	0.0912553
15)	0.448309

Individual: 35:
0)	0.241149
1)	-0.261293
2)	0.330373
3)	-0.258176
4)	0.439707
5)	0.0146745
6)	0.759959
7)	-0.156134
8)	0.11245
9)	-0.2533
10)	0.431389
11)	0.423275
12)	0.398077
13)	-0.278408
14)	0.327354
15)	0.653901

Individual: 36:
0)	0.301523
1)	0.395914
2)	0.142963
3)	-0.378899
4)	0.230026
5)	-0.0770635
6)	0.657816
7)	-0.104312
8)	-0.273644
9)	-0.0180862
10)	-0.229304
11)	-0.447101
12)	-0.0980276
13)	0.105782
14)	-0.108943
15)	0.672653

Individual: 37:
0)	0.527927
1)	-0.0493
2)	0.508666
3)	-0.565455
4)	-0.0707073
5)	0.0511645
6)	0.575377
7)	-0.656492
8)	-0.473626
9)	-0.0267113
10)	0.309546
11)	0.0786855
12)	0.29783
13)	0.0640255
14)	-0.102013
15)	0.665794

Individual: 38:
0)	0.166265
1)	-0.00625507
2)	0.8373
3)	-0.462279
4)	-0.157514
5)	0.447744
6)	-0.194777
7)	0.297174
8)	0.197646
9)	-0.325274
10)	-0.445402
11)	-0.443603
12)	0.173543
13)	-0.383513
14)	0.270866
15)	-0.121204

Individual: 39:
0)	0.283946
1)	0.0137087
2)	0.855186
3)	-0.556079
4)	0.0988373
5)	0.467532
6)	-0.168823
7)	0.484503
8)	-0.150193
9)	-0.300464
10)	-0.481899
11)	-0.631895
12)	-0.0355049
13)	-0.385669
14)	0.280367
15)	-0.158075

Individual: 40:
0)	0.119062
1)	0.621763
2)	-0.14695
3)	-0.337747
4)	0.21268
5)	-0.628821
6)	-0.383882
7)	-0.537549
8)	-0.991502
9)	-0.413378
10)	-0.155685
11)	-0.639622
12)	-0.185384
13)	0.15264
14)	-0.187214
15)	0.704389

Individual: 41:
0)	0.0748783
1)	0.261807
2)	-0.158024
3)	-0.559328
4)	0.369919
5)	-0.186012
6)	-0.678356
7)	-0.64135
8)	-0.922916
9)	-0.202017
10)	-0.0413919
11)	-0.429568
12)	-0.21871
13)	0.494713
14)	-0.104276
15)	0.718716

Individual: 42:
0)	0.0186376
1)	-0.201482
2)	0.294028
3)	-0.326257
4)	-0.0511123
5)	0.541226
6)	-0.246737
7)	-0.131414
8)	0.378401
9)	-0.0277989
10)	-0.279509
11)	0.173866
12)	0.398383
13)	-0.524365
14)	-0.658123
15)	-0.119917

Individual: 43:
0)	-0.215892
1)	-0.308689
2)	0.220366
3)	-0.320401
4)	-0.0880644
5)	0.264478
6)	0.174879
7)	-0.167779
8)	0.373426
9)	-0.156382
10)	-0.302561
11)	0.403211
12)	0.447274
13)	-0.340738
14)	-0.212525
15)	-0.111784

Individual: 44:
0)	0.0963223
1)	-0.138933
2)	0.123489
3)	-0.860599
4)	0.132346
5)	-0.427673
6)	0.373759
7)	-0.240628
8)	0.531356
9)	-0.542047
10)	0.129944
11)	0.619716
12)	0.315941
13)	0.407249
14)	0.202231
15)	-0.313378

Individual: 45:
0)	0.110587
